Title,Identifier,Container ID
Southern Christian Leadership Conference records,Manuscript Collection No. 1083,147
AID Atlanta records,Manuscript Collection No. 1264,148
"Joseph Cumming papers, 1949-2008",Manuscript Collection No. 942,149
Sigma Pi Phi records,Manuscript Collection No. 1337,150
Jack Gilbert papers,Manuscript Collection No. 1375,151
Jake Adam York papers,Manuscript Collection No. 1376,152
Thomas H. Wirth collection,Manuscript Collection No. 1304,153
Atlanta Celebrates Photography records,Manuscript Collection No. 1449,154
Sam Nunn papers,Manuscript Collection No. 800,155
Michel Fabre archives of African American arts and letters,Manuscript Collection No. 932,156
Constance W. Curry papers,Manuscript Collection No. 818,157
Alli Royce Soble photographs,Manuscript Collection No. 1315,158
Geraldine Mills papers,Manuscript Collection No. 1467,159
Joan McBreen papers,Manuscript Collection No. 1088,160
Louis and Anna Geffen family papers,Manuscript Collection No. 651,161
Benny Andrews papers,Manuscript Collection No. 845,162
"Walter R, Branham, Jr. family papers",Manuscript Collection No. 103,163
Geneva H. Southall papers,Manuscript Collection No. 1004,164
James Cobb Burke papers,Manuscript Collection No. 1439,165
Thomas Kinsella papers,Manuscript Collection No. 774,166
John Griffin papers,Manuscript Collection No. 767,167
Professional Women Photographers records,Manuscript Collection No. 1374,168
Horace Mann and Julia W. Bond family papers,Manuscript Collection No. 1144,169
Natasha Trethewey papers,Manuscript Collection No. 1272,170
Rebecca Ranson papers,Manuscript Collection No. 1253,171
David Ignatow collection,Manuscript Collection No. 956,172
Elizabeth Dewberry papers,Manuscript Collection No. 666,173
Paul Carter Harrison,Manuscript Collection No. 1149,174
Alfred Uhry papers,Manuscript Collection No. 833,175
Salman Rushdie papers,Manuscript Collection No. 1000,176
James A. Porter papers,Manuscript Collection No. 1139,177
D.A. Powell papers,Manuscript Collection No. 1168,178
Peter Fallon - Gallery Press collection,Manuscript Collection No. 817,179
Valerie Boyd papers,Manuscript Collection No. 1421,180
Kali Archibald papers,Manuscript Collection No. 1448,181
Tracy K. Smith papers,Manuscript Collection No. 1468,182
Liam Rector papers,Manuscript Collection No. 1229,183
Lerone Bennett papers,Manuscript Collection No. 1240,184
Gylbert Coker papers,Manuscript Collection No. 1042,185
Chris and Laurie Mills papers,Manuscript Collection No. 1352,186
Jack Stewart papers,Manuscript Collection No. 1445,187
Mari Evans papers,Manuscript Collection No. 1284,188
Alice Walker papers,Manuscript Collection No. 1061,189
Nathaniel Mackey papers,Manuscript Collection No. 1297,190
Mildred Thompson papers,Manuscript Collection No. 1199,191
Matt Schaffer collection,Manuscript Collection No. 755,192
Jesse Peel papers,Manuscript Collection No. 1231,193
Lucille Clifton papers,Manuscript Collection No. 1054,194
Get This! Gallery records,Manuscript Collection No. 1324,195
"Eamon Grennan papers, 1943-2010",Manuscript Collection No. 1150,196
Atlanta Gay Men's Chorus records,Manuscript Collection No. 1251,197
Henry H. and Ella Pearson Mitchell papers,Manuscript Collection No. 1018,198
Roy C. and Araminta H. DeLamotte papers,Manuscript Collection No. 1244,199
Cheryll Y Greene papers,Manuscript Collection No. 1295,200
Dennis O'Driscoll,Manuscript Collection No. 1420,201
Donald Locke papers,Manuscript Collection No. 1440,202
Vincent Harding papers,Manuscript Collection No. 868,203
John Stone papers,Manuscript Collection No. 1182,204
Kevin Young papers,Manuscript Collection No. 1447,205
Joan Sandler papers,Manuscript Collection No. 1456,206
Samuel Beckett collection,Manuscript Collection No. 902,207
Robert Elfstrom photographs,Manuscript Collection No. 1358,208
Julian Plowden photographs,Manuscript Collection No. 1347,209
Carol Ann Duffy papers,Manuscript Collection No. 834,210
Undine Smith Moore papers,Manuscript Collection No. 1155,211
Mirabel Pictures WeSurvive oral history collection,Manuscript Collection No. 307,212
Tina McElroy Ansa papers,Manuscript Collection No. 1481,213
"Turner Cassity  papers, 1948-2009",Manuscript Collection No. 642,214
Rita Ann Higgins papers,Manuscript Collection No. 1194,215
Richard Blanco papers,Manuscript Collection No. 1431,216
Robert L. (Robb) Pitts papers,Manuscript Collection No. 1316,217
Village Writers' Group records,Manuscript Collection No. 657,218
Seamus Heaney collection,Manuscript Collection No. 653,219
Joanne Kilgour Dowdy papers,Manuscript Collection No. 1435,220
Jack Stewart Boozer papers,Manuscript Collection No. 685,221
Christopher Gilbert papers,Manuscript Collection No. 1346,222
Ed Bullins papers,Manuscript Collection No. 1131,223
Amalia K. Amaki papers,Manuscript Collection No. 1219,224
Teri Darnell photographs,Manuscript Collection No. 1450,225
James E. Hinton photographs and papers,Manuscript Collection No. 1330,226
Americana (Brazil) Oral History Project collection,Manuscript Collection No. 740,227
Pat Watters papers,Manuscript Collection No. 905,228
Ralph McGill papers,Manuscript Collection No. 252,229
Derrick Henry papers,Manuscript Collection No. 1260,230
"""Will the Circle Be Unbroken?"" program files and sound recordings",Manuscript Collection No. 934,231
Len Prince papers,Manuscript Collection No. 1339,232
Bobby Jones collection and research files,Manuscript Collection No. 1250,233
Druid Hills Civic Association records,Manuscript Collection No. 65,234
"Southeastern Arts, Media & Education Project (Atlanta, Ga.) records",Manuscript Collection No. 1015,235
Elaine Brown papers,Manuscript Collection No. 912,236
Pressed Wafer records,Manuscript Collection No. 1124,237
Pearl Cleage papers,Manuscript Collection No. 1223,238
"Michael Lomax papers, [bulk 1965-2010]",Manuscript Collection No. 785,239
J. Herman Blake and Emily L. Moore papers,Manuscript Collection No. 1357,240
Council of Intown Neighborhoods and Schools records,Manuscript Collection No. 1396,241
Dianora Niccolini papers,Manuscript Collection No. 1309,242
Jack Nelson papers,Manuscript Collection No. 1237,243
Journal of the History of Philosophy records,Manuscript Collection No. 109,244
Andrew Feiler photographs,Manuscript Collection No. 1427,245
Bert and Mary Meyer Foundation records,Manuscript Collection No. 1140,246
Camille Billops and James V. Hatch archives at Emory University,Manuscript Collection No. 927,247
James Vernon Hatch papers,Manuscript Collection No. 1226,248
Veterans of Hope Project records,Manuscript Collection No. 1293,249
Inman Park Neighborhood Association records,Manuscript Collection No. 1485,250
Rosemary Magee research files on Flannery O'Connor,Manuscript Collection No. 1451,251
